0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:31 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 200 331341
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:31 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 200 298548
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:31 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 200 327507
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:31 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 200 126687
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:31 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 200 948177
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10828
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /AFO1/source/avatar2.jpg HTTP/1.1" 200 100716
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 200 327507
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 200 331341
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 200 126687
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /AFO1/source/%EC%98%A4%EB%8A%98%20%EB%B0%A4,%20%EC%9D%B4%20%EC%84%B8%EA%B3%84%EC%97%90%EC%84%9C%20%EC%9D%B4%20%EC%82%AC%EB%9E%91%EC%9D%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%EB%8B%A4%20%ED%95%B4%EB%8F%84.png HTTP/1.1" 200 3188748
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 200 298548
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 200 948177
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10828
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%98%A4%EB%8A%98%20%EB%B0%A4,%20%EC%9D%B4%20%EC%84%B8%EA%B3%84%EC%97%90%EC%84%9C%20%EC%9D%B4%20%EC%82%AC%EB%9E%91%EC%9D%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%EB%8B%A4%20%ED%95%B4%EB%8F%84.png HTTP/1.1" 200 3188748
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 200 298548
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 200 331341
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/avatar2.jpg HTTP/1.1" 200 100716
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 200 327507
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 200 126687
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 200 948177
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10828
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/avatar2.jpg HTTP/1.1" 200 100716
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 200 298548
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 200 331341
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%98%A4%EB%8A%98%20%EB%B0%A4,%20%EC%9D%B4%20%EC%84%B8%EA%B3%84%EC%97%90%EC%84%9C%20%EC%9D%B4%20%EC%82%AC%EB%9E%91%EC%9D%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%EB%8B%A4%20%ED%95%B4%EB%8F%84.png HTTP/1.1" 200 3188748
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 200 126687
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 200 327507
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 200 948177
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:56 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10828
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:56 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:48:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:50:59 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10821
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:50:59 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:01 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10821
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:01 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10821
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:02 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10821
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:03 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10821
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:47 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10820
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:47 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10820
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /AFO1/source/%EC%98%A4%EB%8A%98%20%EB%B0%A4,%20%EC%9D%B4%20%EC%84%B8%EA%B3%84%EC%97%90%EC%84%9C%20%EC%9D%B4%20%EC%82%AC%EB%9E%91%EC%9D%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%EB%8B%A4%20%ED%95%B4%EB%8F%84.png HTTP/1.1" 200 3188748
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 200 298548
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /AFO1/source/avatar2.jpg HTTP/1.1" 200 100716
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 200 126687
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 200 331341
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 200 327507
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 200 948177
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:51:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:34 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10811
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:34 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:36 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10811
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:36 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10811
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10811
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 200 298548
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /AFO1/source/avatar2.jpg HTTP/1.1" 200 100716
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 200 331341
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 200 327507
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 200 126687
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /AFO1/source/%EC%98%A4%EB%8A%98%20%EB%B0%A4,%20%EC%9D%B4%20%EC%84%B8%EA%B3%84%EC%97%90%EC%84%9C%20%EC%9D%B4%20%EC%82%AC%EB%9E%91%EC%9D%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%EB%8B%A4%20%ED%95%B4%EB%8F%84.png HTTP/1.1" 200 3188748
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 200 948177
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:52:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:53:21 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:53:21 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:53:55 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:53:57 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:53:57 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:12:53:57 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:32:08 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10816
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:32:08 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:33:08 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:34:38 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:27 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /AFO1/source/%EC%98%81%EC%9B%85.jpeg HTTP/1.1" 200 298548
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /AFO1/source/avatar2.jpg HTTP/1.1" 200 100716
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /AFO1/source/%EC%98%AC%EB%B9%BC%EB%AF%B8.jpeg HTTP/1.1" 200 327507
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /AFO1/source/%EC%9D%B8%ED%84%B0%EC%8A%A4%ED%85%94%EB%9D%BC.jpg HTTP/1.1" 200 126687
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /AFO1/source/%EC%98%A4%EB%8A%98%20%EB%B0%A4,%20%EC%9D%B4%20%EC%84%B8%EA%B3%84%EC%97%90%EC%84%9C%20%EC%9D%B4%20%EC%82%AC%EB%9E%91%EC%9D%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%EB%8B%A4%20%ED%95%B4%EB%8F%84.png HTTP/1.1" 200 3188748
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /AFO1/source/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8.jpeg HTTP/1.1" 200 331341
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /AFO1/source/psy_age.png HTTP/1.1" 200 948177
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:35:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:37:20 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10814
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:37:53 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:38:57 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10840
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:40:06 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:40:09 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10818
0:0:0:0:0:0:0:1 - - [05/Jan/2023:13:40:09 +0900] "GET /AFO1/welcome.jsp HTTP/1.1" 200 10818
